Time(Iteration),EpsilonGreedyMultiArmedBandit,UCB,TS,PHE
276,380.3998470000329,133.55678620880494,131.86234171380121,111.02550434732487
277,381.65901433540205,133.72902367873493,131.89303754442767,111.06206507339795
278,382.43348532034423,133.7436606317333,131.89303754442767,111.12203797819106
279,382.6858866855518,133.75829758473165,131.9514713552749,111.1609618696279
280,383.4287602740956,133.84459028317215,131.96236756213742,111.1626194979147
281,384.6586737622342,133.8592272361705,131.98513006225875,111.19979729100459
282,385.76202083943735,133.87324712215207,132.03779931855263,111.2227936370012
283,386.29089971828853,133.87386418916887,132.04913894393147,111.23177009701627
284,387.62712795634997,133.90720949197456,132.0923827336813,111.25476644301288
285,387.8153510350656,133.94117186179705,132.13706766186579,111.33002699503314
286,388.42492464948424,133.9551917477786,132.16181010620934,111.41100601121185
287,388.856707783031,134.29043263502996,132.4294330269287,111.54835692688467
288,390.53787347634494,134.29126619189887,132.79969020421265,111.55734287235077
289,390.69065909021,134.30590314489723,132.82268655020926,111.65692434103102
290,391.4318300836293,134.3205400978956,132.88112036105647,111.69937454608767
291,391.7268041225968,134.3661462105133,132.93426179525457,111.75251598028576
292,391.90100731533084,134.3667632775301,132.94323825526965,111.76066836888295
293,392.89021303695546,134.38140023052847,133.00167206611687,111.80870859586217
294,393.12425871814094,134.44102622912774,133.02466841211347,111.8917089914219
295,393.9671331174619,134.4556631821261,133.04766475811007,111.91470533741851
296,394.92819982577646,134.47030013512446,133.07066110410668,111.93687761199725
297,395.6064589392904,134.48493708812282,133.07302426947044,111.98553490599328
298,396.22273436605883,134.49895697410437,133.07302426947044,112.04314464542263
299,396.4184927663548,134.5153400254497,133.09519654404917,112.10075438485198
300,397.18927838199386,134.72682061380428,133.27960618880664,112.12292665943072
301,397.6144099424129,134.74145756680264,133.30260253480324,112.18197753729476
302,397.79758959516204,134.74207463381944,133.30260253480324,112.19157106432662
303,398.2990264890548,134.90446943047488,133.39108813534168,112.3074466639939
304,398.7712663777163,135.04384059740866,133.48757292440757,112.3456231967061
305,399.24668986242733,135.0924978914047,133.53994670624022,112.36841253830164
306,399.45051288519306,135.10713484440305,133.56294305223682,112.44975530557456
307,401.2134963758309,135.13074825741646,133.58593939823342,112.51055228178555
308,403.4060550573576,135.15528369735895,133.6308741729335,112.53591179314593
309,403.9456957902993,135.24223086039106,133.68848391236284,112.55808406772466
310,404.7798046736275,135.24284792740787,133.71148025835944,112.58261950766716
311,405.3933369929596,135.41530651880205,133.763247604157,112.60561585366378
312,406.1011072682273,135.61024379569676,133.78541987873572,112.66384266010994
313,407.1729058398901,135.6324160702755,133.80841622473233,112.72227647095717
314,408.5429452039977,135.79532080852903,133.84531949669773,112.73186999798904
315,408.7311682827133,135.81893422154243,133.86831584269433,112.78227339033202
316,410.63844893552755,135.86985737948936,133.91923900064126,112.83031361731125
317,411.47707320070435,136.01298511950316,133.9864003208209,112.94647678241797
318,412.61857075325827,136.05493181743503,134.03732347876783,112.96864905699671
319,413.1886242626783,136.13652790063057,134.07038247475805,113.02520125920962
320,414.3680928124908,136.13714496764737,134.13469279306983,113.03571681317057
321,414.7236712781865,136.1821340132483,134.18958032561488,113.12829057984563
322,415.20299452859797,136.1827510802651,134.21493983697525,113.15128692584224
323,415.4782390061706,136.19738803326345,134.21493983697525,113.17490033885566
324,417.3347172256851,136.25639696484592,134.25037730182586,113.31443278071175
325,418.09069174091763,136.28175647620628,134.27573681318623,113.33979229207213
326,418.3962035982675,136.2981395275516,134.27573681318623,113.38783251905136
327,418.41022348424906,136.31215941353315,134.27748291153318,113.43587274603058
328,419.4753971766355,136.33577282654656,134.3460777371058,113.46123225739096
329,420.339888751259,136.56851451014865,134.34782383545274,113.51884199682031
330,420.99521181648197,136.63886306710992,134.3731833468131,113.62046269457115
331,421.147997430347,136.66247648012333,134.3961796928097,113.72767341424455
332,421.14861449736384,136.66247648012333,134.4764083508065,113.77188033470915
333,421.4736703534493,136.69122736349155,134.50515923417473,113.77270440612703
